Entidad,B4-A-Muy difícil-Recuento,B4-A-Muy difícil-% del N de fila,B4-A-Muy difícil-% de N columnas,B4-A-Difícil-Recuento,B4-A-Difícil-% del N de fila,B4-A-Difícil-% de N columnas,B4-A-Poco difícil-Recuento,B4-A-Poco difícil-% del N de fila,B4-A-Poco difícil-% de N columnas,B4-A-Nada difícil-Recuento,B4-A-Nada difícil-% del N de fila,B4-A-Nada difícil-% de N columnas,B4-B-Muy difícil-Recuento,B4-B-Muy difícil-% del N de fila,B4-B-Muy difícil-% de N columnas,B4-B-Difícil-Recuento,B4-B-Difícil-% del N de fila,B4-B-Difícil-% de N columnas,B4-B-Poco difícil-Recuento,B4-B-Poco difícil-% del N de fila,B4-B-Poco difícil-% de N columnas,B4-B-Nada difícil-Recuento,B4-B-Nada difícil-% del N de fila,B4-B-Nada difícil-% de N columnas,B4-C-Muy difícil-Recuento,B4-C-Muy difícil-% del N de fila,B4-C-Muy difícil-% de N columnas,B4-C-Difícil-Recuento,B4-C-Difícil-% del N de fila,B4-C-Difícil-% de N columnas,B4-C-Poco difícil-Recuento,B4-C-Poco difícil-% del N de fila,B4-C-Poco difícil-% de N columnas,B4-C-Nada difícil-Recuento,B4-C-Nada difícil-% del N de fila,B4-C-Nada difícil-% de N columnas,B4-D-Muy difícil-Recuento,B4-D-Muy difícil-% del N de fila,B4-D-Muy difícil-% de N columnas,B4-D-Difícil-Recuento,B4-D-Difícil-% del N de fila,B4-D-Difícil-% de N columnas,B4-D-Poco difícil-Recuento,B4-D-Poco difícil-% del N de fila,B4-D-Poco difícil-% de N columnas,B4-D-Nada difícil-Recuento,B4-D-Nada difícil-% del N de fila,B4-D-Nada difícil-% de N columnas,B4-E-Muy difícil-Recuento,B4-E-Muy difícil-% del N de fila,B4-E-Muy difícil-% de N columnas,B4-E-Difícil-Recuento,B4-E-Difícil-% del N de fila,B4-E-Difícil-% de N columnas,B4-E-Poco difícil-Recuento,B4-E-Poco difícil-% del N de fila,B4-E-Poco difícil-% de N columnas,B4-E-Nada difícil-Recuento,B4-E-Nada difícil-% del N de fila,B4-E-Nada difícil-% de N columnas,B4-F-Muy difícil-Recuento,B4-F-Muy difícil-% del N de fila,B4-F-Muy difícil-% de N columnas,B4-F-Difícil-Recuento,B4-F-Difícil-% del N de fila,B4-F-Difícil-% de N columnas,B4-F-Poco difícil-Recuento,B4-F-Poco difícil-% del N de fila,B4-F-Poco difícil-% de N columnas,B4-F-Nada difícil-Recuento,B4-F-Nada difícil-% del N de fila,B4-F-Nada difícil-% de N columnas,B4-G-Muy difícil-Recuento,B4-G-Muy difícil-% del N de fila,B4-G-Muy difícil-% de N columnas,B4-G-Difícil-Recuento,B4-G-Difícil-% del N de fila,B4-G-Difícil-% de N columnas,B4-G-Poco difícil-Recuento,B4-G-Poco difícil-% del N de fila,B4-G-Poco difícil-% de N columnas,B4-G-Nada difícil-Recuento,B4-G-Nada difícil-% del N de fila,B4-G-Nada difícil-% de N columnas,B4-H-Muy difícil-Recuento,B4-H-Muy difícil-% del N de fila,B4-H-Muy difícil-% de N columnas,B4-H-Difícil-Recuento,B4-H-Difícil-% del N de fila,B4-H-Difícil-% de N columnas,B4-H-Poco difícil-Recuento,B4-H-Poco difícil-% del N de fila,B4-H-Poco difícil-% de N columnas,B4-H-Nada difícil-Recuento,B4-H-Nada difícil-% del N de fila,B4-H-Nada difícil-% de N columnas,B4-I-Muy difícil-Recuento,B4-I-Muy difícil-% del N de fila,B4-I-Muy difícil-% de N columnas,B4-I-Difícil-Recuento,B4-I-Difícil-% del N de fila,B4-I-Difícil-% de N columnas,B4-I-Poco difícil-Recuento,B4-I-Poco difícil-% del N de fila,B4-I-Poco difícil-% de N columnas,B4-I-Nada difícil-Recuento,B4-I-Nada difícil-% del N de fila,B4-I-Nada difícil-% de N columnas,B4-J-Muy difícil-Recuento,B4-J-Muy difícil-% del N de fila,B4-J-Muy difícil-% de N columnas,B4-J-Difícil-Recuento,B4-J-Difícil-% del N de fila,B4-J-Difícil-% de N columnas,B4-J-Poco difícil-Recuento,B4-J-Poco difícil-% del N de fila,B4-J-Poco difícil-% de N columnas,B4-J-Nada difícil-Recuento,B4-J-Nada difícil-% del N de fila,B4-J-Nada difícil-% de N columnas,B4-K-Muy difícil-Recuento,B4-K-Muy difícil-% del N de fila,B4-K-Muy difícil-% de N columnas,B4-K-Difícil-Recuento,B4-K-Difícil-% del N de fila,B4-K-Difícil-% de N columnas,B4-K-Poco difícil-Recuento,B4-K-Poco difícil-% del N de fila,B4-K-Poco difícil-% de N columnas,B4-K-Nada difícil-Recuento,B4-K-Nada difícil-% del N de fila,B4-K-Nada difícil-% de N columnas
AGUASCALIENTES,99.000,0.068,0.055,555.000,0.381,0.052,652.000,0.447,0.047,152.000,0.104,0.047,222.000,0.152,0.065,559.000,0.383,0.052,547.000,0.375,0.045,130.000,0.089,0.042,616.000,0.422,0.060,573.000,0.393,0.045,232.000,0.159,0.040,37.000,0.025,0.045,120.000,0.082,0.055,526.000,0.361,0.054,681.000,0.467,0.047,131.000,0.090,0.042,255.000,0.175,0.044,608.000,0.417,0.051,515.000,0.353,0.051,80.000,0.055,0.048,80.000,0.055,0.050,430.000,0.295,0.053,757.000,0.519,0.049,191.000,0.131,0.044,89.000,0.061,0.055,517.000,0.355,0.050,759.000,0.521,0.050,93.000,0.064,0.041,208.000,0.143,0.052,559.000,0.383,0.051,570.000,0.391,0.048,121.000,0.083,0.044,133.000,0.091,0.061,474.000,0.325,0.051,703.000,0.482,0.050,148.000,0.102,0.039,67.000,0.046,0.053,370.000,0.254,0.055,794.000,0.545,0.048,227.000,0.156,0.044,69.000,0.047,0.049,431.000,0.296,0.055,765.000,0.525,0.048,193.000,0.132,0.044
BAJA CALIFORNIA,2.000,0.018,0.001,44.000,0.396,0.004,51.000,0.459,0.004,14.000,0.126,0.004,12.000,0.108,0.004,35.000,0.315,0.003,41.000,0.369,0.003,23.000,0.207,0.007,34.000,0.306,0.003,53.000,0.477,0.004,21.000,0.189,0.004,3.000,0.027,0.004,4.000,0.036,0.002,39.000,0.351,0.004,54.000,0.486,0.004,14.000,0.126,0.004,18.000,0.162,0.003,45.000,0.405,0.004,38.000,0.342,0.004,10.000,0.090,0.006,8.000,0.072,0.005,34.000,0.306,0.004,51.000,0.459,0.003,18.000,0.162,0.004,2.000,0.018,0.001,46.000,0.414,0.004,55.000,0.495,0.004,8.000,0.072,0.004,19.000,0.171,0.005,41.000,0.369,0.004,43.000,0.387,0.004,8.000,0.072,0.003,4.000,0.036,0.002,40.000,0.360,0.004,51.000,0.459,0.004,16.000,0.144,0.004,3.000,0.027,0.002,27.000,0.243,0.004,65.000,0.586,0.004,16.000,0.144,0.003,2.000,0.018,0.001,29.000,0.261,0.004,66.000,0.595,0.004,14.000,0.126,0.003
BAJA CALIFORNIA SUR,74.000,0.059,0.041,403.000,0.323,0.038,617.000,0.494,0.045,155.000,0.124,0.048,139.000,0.111,0.041,413.000,0.331,0.038,542.000,0.434,0.044,155.000,0.124,0.050,424.000,0.339,0.041,503.000,0.403,0.040,282.000,0.226,0.049,40.000,0.032,0.048,72.000,0.058,0.033,375.000,0.300,0.039,661.000,0.529,0.046,141.000,0.113,0.045,306.000,0.245,0.053,462.000,0.370,0.039,402.000,0.322,0.040,79.000,0.063,0.047,76.000,0.061,0.047,340.000,0.272,0.042,643.000,0.515,0.041,190.000,0.152,0.044,65.000,0.052,0.040,413.000,0.331,0.040,662.000,0.530,0.043,109.000,0.087,0.048,170.000,0.136,0.043,454.000,0.363,0.041,495.000,0.396,0.042,130.000,0.104,0.048,86.000,0.069,0.039,359.000,0.287,0.038,627.000,0.502,0.044,177.000,0.142,0.047,61.000,0.049,0.048,280.000,0.224,0.041,669.000,0.536,0.041,239.000,0.191,0.047,70.000,0.056,0.050,306.000,0.245,0.039,663.000,0.531,0.042,210.000,0.168,0.048
CAMPECHE,31.000,0.058,0.017,191.000,0.356,0.018,266.000,0.495,0.019,49.000,0.091,0.015,53.000,0.099,0.015,185.000,0.345,0.017,238.000,0.443,0.019,61.000,0.114,0.020,168.000,0.313,0.016,234.000,0.436,0.018,116.000,0.216,0.020,19.000,0.035,0.023,37.000,0.069,0.017,167.000,0.311,0.017,274.000,0.510,0.019,59.000,0.110,0.019,119.000,0.222,0.021,222.000,0.413,0.019,167.000,0.311,0.017,29.000,0.054,0.017,25.000,0.047,0.016,152.000,0.283,0.019,265.000,0.493,0.017,95.000,0.177,0.022,30.000,0.056,0.019,179.000,0.333,0.017,277.000,0.516,0.018,51.000,0.095,0.022,70.000,0.130,0.018,198.000,0.369,0.018,218.000,0.406,0.019,51.000,0.095,0.019,40.000,0.074,0.018,141.000,0.263,0.015,291.000,0.542,0.021,65.000,0.121,0.017,22.000,0.041,0.017,122.000,0.227,0.018,293.000,0.546,0.018,100.000,0.186,0.020,19.000,0.035,0.014,139.000,0.259,0.018,297.000,0.553,0.019,82.000,0.153,0.019
CHIAPAS,13.000,0.053,0.007,82.000,0.336,0.008,125.000,0.512,0.009,24.000,0.098,0.007,13.000,0.053,0.004,72.000,0.295,0.007,122.000,0.500,0.010,37.000,0.152,0.012,60.000,0.246,0.006,103.000,0.422,0.008,72.000,0.295,0.012,9.000,0.037,0.011,15.000,0.061,0.007,69.000,0.283,0.007,123.000,0.504,0.009,37.000,0.152,0.012,43.000,0.176,0.007,91.000,0.373,0.008,99.000,0.406,0.010,11.000,0.045,0.007,9.000,0.037,0.006,53.000,0.217,0.007,131.000,0.537,0.008,51.000,0.209,0.012,10.000,0.041,0.006,65.000,0.266,0.006,152.000,0.623,0.010,17.000,0.070,0.007,19.000,0.078,0.005,79.000,0.324,0.007,100.000,0.410,0.009,46.000,0.189,0.017,11.000,0.045,0.005,67.000,0.275,0.007,120.000,0.492,0.008,46.000,0.189,0.012,10.000,0.041,0.008,62.000,0.254,0.009,124.000,0.508,0.008,48.000,0.197,0.009,9.000,0.037,0.006,66.000,0.270,0.008,123.000,0.504,0.008,46.000,0.189,0.010
CHIHUAHUA,88.000,0.061,0.049,510.000,0.351,0.048,675.000,0.465,0.049,180.000,0.124,0.055,166.000,0.114,0.049,528.000,0.363,0.049,615.000,0.423,0.050,144.000,0.099,0.047,568.000,0.391,0.056,582.000,0.401,0.046,273.000,0.188,0.047,30.000,0.021,0.036,119.000,0.082,0.054,505.000,0.348,0.052,683.000,0.470,0.047,146.000,0.100,0.047,309.000,0.213,0.053,544.000,0.374,0.046,508.000,0.350,0.050,92.000,0.063,0.055,80.000,0.055,0.050,377.000,0.259,0.047,758.000,0.522,0.049,238.000,0.164,0.055,83.000,0.057,0.051,500.000,0.344,0.048,741.000,0.510,0.049,129.000,0.089,0.057,179.000,0.123,0.045,524.000,0.361,0.048,616.000,0.424,0.052,134.000,0.092,0.049,107.000,0.074,0.049,436.000,0.300,0.047,727.000,0.500,0.051,183.000,0.126,0.048,54.000,0.037,0.043,336.000,0.231,0.050,818.000,0.563,0.050,245.000,0.169,0.048,57.000,0.039,0.041,412.000,0.284,0.052,770.000,0.530,0.049,214.000,0.147,0.049
CIUDAD DE MÉXICO,131.000,0.075,0.073,705.000,0.406,0.066,707.000,0.407,0.051,195.000,0.112,0.060,256.000,0.147,0.075,714.000,0.411,0.066,625.000,0.360,0.051,143.000,0.082,0.046,781.000,0.449,0.076,711.000,0.409,0.056,214.000,0.123,0.037,32.000,0.018,0.039,185.000,0.106,0.084,656.000,0.377,0.067,754.000,0.434,0.052,143.000,0.082,0.046,449.000,0.258,0.077,727.000,0.418,0.061,482.000,0.277,0.048,80.000,0.046,0.048,119.000,0.068,0.074,533.000,0.307,0.066,858.000,0.494,0.055,228.000,0.131,0.053,125.000,0.072,0.077,676.000,0.389,0.065,829.000,0.477,0.054,108.000,0.062,0.047,344.000,0.198,0.086,696.000,0.401,0.063,581.000,0.334,0.049,116.000,0.067,0.042,175.000,0.101,0.080,607.000,0.349,0.065,752.000,0.433,0.053,203.000,0.117,0.054,80.000,0.046,0.063,467.000,0.269,0.069,925.000,0.533,0.056,265.000,0.153,0.052,93.000,0.054,0.066,532.000,0.306,0.068,877.000,0.505,0.055,235.000,0.135,0.053
COAHUILA,22.000,0.060,0.012,135.000,0.367,0.013,172.000,0.467,0.012,39.000,0.106,0.012,35.000,0.095,0.010,124.000,0.337,0.011,165.000,0.448,0.014,44.000,0.120,0.014,123.000,0.334,0.012,160.000,0.435,0.013,77.000,0.209,0.013,8.000,0.022,0.010,29.000,0.079,0.013,112.000,0.304,0.012,184.000,0.500,0.013,43.000,0.117,0.014,73.000,0.198,0.013,150.000,0.408,0.013,125.000,0.340,0.012,20.000,0.054,0.012,21.000,0.057,0.013,110.000,0.299,0.014,175.000,0.476,0.011,62.000,0.168,0.014,19.000,0.052,0.012,128.000,0.348,0.012,198.000,0.538,0.013,23.000,0.063,0.010,38.000,0.103,0.010,127.000,0.345,0.012,167.000,0.454,0.014,36.000,0.098,0.013,24.000,0.065,0.011,106.000,0.288,0.011,185.000,0.503,0.013,53.000,0.144,0.014,18.000,0.049,0.014,95.000,0.258,0.014,188.000,0.511,0.011,67.000,0.182,0.013,19.000,0.052,0.014,114.000,0.310,0.014,176.000,0.478,0.011,59.000,0.160,0.013
COLIMA,58.000,0.057,0.032,309.000,0.304,0.029,507.000,0.500,0.037,141.000,0.139,0.043,111.000,0.109,0.032,351.000,0.346,0.033,410.000,0.404,0.034,142.000,0.140,0.046,344.000,0.339,0.034,438.000,0.432,0.035,202.000,0.199,0.035,30.000,0.030,0.036,74.000,0.073,0.034,319.000,0.315,0.033,509.000,0.502,0.035,112.000,0.110,0.036,213.000,0.210,0.037,413.000,0.407,0.035,322.000,0.318,0.032,66.000,0.065,0.039,64.000,0.063,0.040,250.000,0.247,0.031,528.000,0.521,0.034,172.000,0.170,0.040,61.000,0.060,0.038,327.000,0.322,0.032,536.000,0.529,0.035,90.000,0.089,0.040,160.000,0.158,0.040,388.000,0.383,0.035,368.000,0.363,0.031,98.000,0.097,0.036,80.000,0.079,0.037,298.000,0.294,0.032,487.000,0.480,0.034,149.000,0.147,0.039,49.000,0.048,0.039,189.000,0.186,0.028,545.000,0.537,0.033,231.000,0.228,0.045,57.000,0.056,0.041,220.000,0.217,0.028,538.000,0.531,0.034,199.000,0.196,0.045
DURANGO,48.000,0.049,0.027,340.000,0.345,0.032,494.000,0.502,0.036,103.000,0.105,0.032,102.000,0.104,0.030,411.000,0.417,0.038,374.000,0.380,0.031,98.000,0.099,0.032,389.000,0.395,0.038,403.000,0.409,0.032,172.000,0.175,0.030,21.000,0.021,0.025,81.000,0.082,0.037,346.000,0.351,0.036,473.000,0.480,0.033,85.000,0.086,0.027,240.000,0.244,0.041,387.000,0.393,0.032,315.000,0.320,0.031,43.000,0.044,0.026,63.000,0.064,0.039,284.000,0.288,0.035,519.000,0.527,0.033,119.000,0.121,0.028,48.000,0.049,0.030,349.000,0.354,0.034,527.000,0.535,0.035,61.000,0.062,0.027,136.000,0.138,0.034,345.000,0.350,0.031,413.000,0.419,0.035,91.000,0.092,0.033,63.000,0.064,0.029,323.000,0.328,0.035,489.000,0.496,0.034,110.000,0.112,0.029,43.000,0.044,0.034,227.000,0.230,0.034,560.000,0.569,0.034,155.000,0.157,0.030,46.000,0.047,0.033,274.000,0.278,0.035,530.000,0.538,0.034,135.000,0.137,0.031
